Name,Knockdown,Significant_Strikes_Landed,Significant_Strikes_Attempted,Significant_Strike_%,Total_Strikes_Landed,Total_Strikes_Attempted,Takedowns_Landed,Takedowns_Attempted,Takedowns_Percent,Submission_Attempts,REV,Control_Time,Head_Landed,Head_Attempted,Body_Landed,Body_Attempted,Leg_Landed,Leg_Attempted,Distance_Landed,Distance_Attempted,Clinch_Landed,Clinch_Attempted,Ground_Landed,Ground_Attempted,Winner
Jared Cannonier,1,28,53,52%,29,54,0,0,---,0,0,22,21,43,2,3,5,7,10,34,1,2,17,17,W
Mark Madsen,0,22,29,75%,24,31,1,2,50%,0,0,51,22,29,0,0,0,0,0,2,1,1,21,26,W
Danilo Belluardo,0,0,1,0%,0,1,0,0,---,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,L
Gunnar Nelson,0,20,36,55%,26,45,0,2,0%,0,0,288,9,23,4,5,7,8,18,32,2,3,0,1,L
Gilbert Burns,0,30,76,39%,46,99,1,3,33%,1,0,115,8,47,8,11,14,18,19,55,10,18,1,3,W
Ion Cutelaba,0,15,26,57%,16,27,4,5,80%,0,0,80,14,25,1,1,0,0,1,5,1,2,13,19,W
Khalil Rountree Jr.,0,5,12,41%,5,12,0,0,---,0,0,0,4,11,1,1,0,0,3,7,2,5,0,0,L
Michal Oleksiejczuk,0,37,78,47%,39,80,0,0,---,0,0,90,23,59,13,18,1,1,32,71,2,2,3,5,L
Ovince Saint Preux,0,14,48,29%,20,54,1,2,50%,1,0,50,5,36,9,12,0,0,11,45,3,3,0,0,W
Nicolas Dalby,0,31,84,36%,64,122,1,4,25%,0,1,328,19,64,5,12,7,8,9,45,11,18,11,21,W
Alex Oliveira,0,18,47,38%,31,65,3,4,75%,0,0,236,14,40,0,2,4,5,13,36,1,3,4,8,L
Alen Amedovski,0,2,11,18%,2,11,0,0,---,0,0,0,2,11,0,0,0,0,2,11,0,0,0,0,L
John Phillips,1,5,8,62%,5,8,0,0,---,0,0,2,4,7,1,1,0,0,3,6,0,0,2,2,W
Alessio Di Chirico,0,36,113,31%,37,114,0,2,0%,0,0,43,31,100,0,4,5,9,30,104,6,9,0,0,L
Makhmud Muradov,0,54,169,31%,56,171,0,3,0%,0,0,38,32,133,19,32,3,4,49,160,5,9,0,0,W
Siyar Bahadurzada,0,12,96,12%,14,98,0,0,---,0,0,0,10,89,2,5,0,2,12,95,0,1,0,0,L
Ismail Naurdiev,0,69,126,54%,149,218,3,3,100%,0,0,344,30,71,15,24,24,31,63,113,0,0,6,13,W
Brandon Davis,0,34,99,34%,36,103,3,7,42%,0,0,182,20,77,5,9,9,13,26,91,3,3,5,5,L
Giga Chikadze,0,59,119,49%,71,133,1,2,50%,0,1,71,44,91,8,16,7,12,43,99,0,0,16,20,W
Macy Chiasson,0,26,47,55%,58,94,0,4,0%,0,0,347,4,22,21,23,1,2,4,18,22,29,0,0,L
Lina Lansberg,0,21,39,53%,49,91,2,4,50%,0,0,465,18,36,2,2,1,1,2,8,8,15,11,16,W
Marc Diakiese,0,40,99,40%,45,111,4,7,57%,0,0,308,16,52,10,25,14,22,31,84,2,3,7,12,W
Lando Vannata,0,25,70,35%,51,108,0,1,0%,0,0,6,4,36,8,12,13,22,24,66,1,4,0,0,L
Jack Shore,0,46,92,50%,81,139,4,7,57%,1,0,391,33,76,2,2,11,14,26,58,3,4,17,30,W
Nohelin Hernandez,0,6,36,16%,9,39,0,0,---,0,1,40,5,34,0,0,1,2,4,32,2,4,0,0,L
Yair Rodriguez,0,2,2,100%,2,2,0,0,---,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,NC
Jeremy Stephens,0,0,1,0%,0,1,0,0,---,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NC
Yair Rodriguez,0,2,2,100%,2,2,0,0,---,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,NC
Jeremy Stephens,0,0,1,0%,0,1,0,0,---,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NC
Carla Esparza,0,44,80,55%,115,157,4,11,36%,0,1,431,27,60,11,14,6,6,28,59,6,9,10,12,W
Alexa Grasso,0,45,103,43%,103,169,0,1,0%,1,1,18,41,97,4,6,0,0,34,88,3,6,8,9,L
Brandon Moreno,1,34,82,41%,70,120,1,1,100%,0,1,384,28,69,6,12,0,1,18,55,2,2,14,25,D
Askar Askarov,0,30,63,47%,53,90,4,11,36%,0,1,239,24,56,4,5,2,2,9,39,4,4,17,20,D
Brandon Moreno,1,34,82,41%,70,120,1,1,100%,0,1,384,28,69,6,12,0,1,18,55,2,2,14,25,D
Askar Askarov,0,30,63,47%,53,90,4,11,36%,0,1,239,24,56,4,5,2,2,9,39,4,4,17,20,D
Irene Aldana,0,125,333,37%,127,335,0,0,---,0,0,0,79,271,21,34,25,28,124,332,1,1,0,0,W
Vanessa Melo,0,68,250,27%,68,250,0,1,0%,0,0,13,48,207,9,28,11,15,68,250,0,0,0,0,L
Martin Bravo,0,86,199,43%,93,206,2,5,40%,0,0,38,60,157,20,33,6,9,85,198,1,1,0,0,L
Steven Peterson,1,49,105,46%,53,109,0,0,---,0,0,1,33,84,12,17,4,4,46,98,1,2,2,5,W
Jose Quinonez,1,60,117,51%,71,130,2,5,40%,0,0,253,36,80,8,13,16,24,40,92,0,1,20,24,W
Carlos Huachin,0,32,115,27%,37,121,0,0,---,0,0,0,22,84,6,25,4,6,30,109,0,2,2,4,L
Marco Polo Reyes,0,6,10,60%,7,11,0,0,---,0,0,0,0,3,5,6,1,1,3,7,3,3,0,0,L
Kyle Nelson,0,12,16,75%,12,16,0,2,0%,0,0,50,8,12,4,4,0,0,2,3,10,13,0,0,W
Ariane Carnelossi,0,72,186,38%,83,197,0,1,0%,0,0,38,36,137,15,26,21,23,57,156,15,30,0,0,L
Angela Hill,0,92,184,50%,93,185,0,0,---,0,0,59,60,137,32,46,0,1,57,139,35,45,0,0,W
Sergio Pettis,0,96,253,37%,96,253,0,0,---,0,0,2,76,224,5,13,15,16,90,245,5,7,1,1,W
Tyson Nam,0,40,170,23%,43,173,0,0,---,0,0,46,28,149,7,15,5,6,38,164,2,6,0,0,L
Vinicius Moreira,0,1,3,33%,1,3,0,0,---,0,0,51,0,2,0,0,1,1,1,3,0,0,0,0,L
Paul Craig,1,18,27,66%,33,43,1,1,100%,1,0,128,16,25,2,2,0,0,1,3,6,6,11,18,W
Sijara Eubanks,0,77,169,45%,94,186,1,5,20%,0,0,145,58,138,12,23,7,8,55,140,8,10,14,19,L
Bethe Correia,0,59,127,46%,77,146,0,1,0%,0,0,84,42,101,12,19,5,7,54,118,5,9,0,0,W
Claudio Puelles,0,22,34,64%,101,116,4,6,66%,2,0,800,21,32,1,2,0,0,1,5,0,0,21,29,W
Marcos Mariano,0,2,9,22%,5,12,0,0,---,0,0,48,0,6,2,3,0,0,2,8,0,0,0,1,L
Donald Cerrone,0,17,52,32%,17,52,0,0,---,0,0,0,12,45,4,6,1,1,17,52,0,0,0,0,L
Justin Gaethje,1,40,61,65%,40,61,0,0,---,0,0,4,27,44,0,2,13,15,36,55,2,3,2,3,W
Glover Teixeira,0,43,71,60%,85,119,1,6,16%,2,2,262,39,67,4,4,0,0,22,45,10,10,11,16,W
Nikita Krylov,0,47,95,49%,74,123,2,4,50%,1,1,279,20,66,17,19,10,10,37,85,3,3,7,7,L
Todd Duffee,1,30,66,45%,38,74,1,3,33%,0,0,116,25,60,5,6,0,0,19,51,9,12,2,3,NC
Jeff Hughes,0,16,29,55%,26,39,0,0,---,0,0,15,12,24,0,0,4,5,14,23,2,6,0,0,NC
Todd Duffee,1,30,66,45%,38,74,1,3,33%,0,0,116,25,60,5,6,0,0,19,51,9,12,2,3,NC
Jeff Hughes,0,16,29,55%,26,39,0,0,---,0,0,15,12,24,0,0,4,5,14,23,2,6,0,0,NC
Michel Pereira,0,32,75,42%,56,107,2,5,40%,0,0,183,13,44,17,29,2,2,23,66,9,9,0,0,L
Tristan Connelly,0,64,125,51%,151,222,0,6,0%,1,0,343,51,106,7,13,6,6,23,71,14,20,27,34,W
Uriah Hall,1,34,79,43%,41,86,0,0,---,0,0,25,31,75,3,4,0,0,22,61,1,1,11,17,W
Antonio Carlos Junior,0,22,69,31%,81,148,3,8,37%,0,0,642,16,63,5,5,1,1,18,65,2,2,2,2,L
Misha Cirkunov,0,6,10,60%,22,29,1,2,50%,1,2,150,4,8,2,2,0,0,1,3,2,3,3,4,W
Jimmy Crute,0,21,35,60%,28,45,0,0,---,0,1,44,19,33,2,2,0,0,2,3,4,5,15,27,L
Marcin Tybura,0,6,7,85%,6,7,0,0,---,0,0,0,1,2,1,1,4,4,6,7,0,0,0,0,L
Augusto Sakai,1,15,27,55%,15,27,0,0,---,0,0,3,13,25,2,2,0,0,6,18,7,7,2,2,W
Cole Smith,0,11,57,19%,26,75,1,6,16%,0,0,511,4,42,7,15,0,0,9,53,2,4,0,0,L
Miles Johns,0,31,65,47%,63,104,1,2,50%,0,1,172,29,62,2,3,0,0,20,53,7,7,4,5,W
Brad Katona,0,21,60,35%,40,83,3,12,25%,0,0,382,18,51,2,7,1,2,17,54,4,6,0,0,L
Hunter Azure,0,41,118,34%,55,133,0,1,0%,0,1,29,25,91,11,20,5,7,33,105,6,8,2,5,W
Chas Skelly,0,21,59,35%,80,125,1,3,33%,3,1,514,20,52,1,7,0,0,20,58,0,0,1,1,W
Jordan Griffin,0,37,87,42%,66,122,1,1,100%,2,2,176,36,84,1,3,0,0,32,81,0,0,5,6,L
Louis Smolka,1,59,115,51%,60,116,0,0,---,0,0,9,27,61,31,52,1,2,57,112,2,3,0,0,W
Ryan MacDonald,0,30,80,37%,31,81,0,0,---,0,0,5,20,65,6,11,4,4,30,79,0,1,0,0,L
Kyle Prepolec,0,44,122,36%,46,124,0,1,0%,0,0,48,23,88,9,19,12,15,42,120,2,2,0,0,L
Austin Hubbard,0,51,112,45%,136,239,3,5,60%,0,0,342,20,68,14,26,17,18,41,100,0,0,10,12,W
Khabib Nurmagomedov,0,22,41,53%,54,77,7,8,87%,2,0,532,16,35,3,3,3,3,10,27,1,1,11,13,W
Dustin Poirier,0,12,39,30%,30,57,0,0,---,1,0,0,5,26,2,7,5,6,12,38,0,1,0,0,L
Edson Barboza,0,60,114,52%,77,133,1,3,33%,0,0,109,27,74,19,24,14,16,55,109,0,0,5,5,L
Paul Felder,0,56,154,36%,75,174,0,2,0%,0,0,123,41,137,9,10,6,7,51,147,1,1,4,6,W
Islam Makhachev,1,43,95,45%,88,148,0,1,0%,0,0,279,32,81,7,10,4,4,29,74,3,3,11,18,W
Davi Ramos,0,7,58,12%,27,80,0,1,0%,0,0,25,5,43,1,14,1,1,5,56,2,2,0,0,L
Curtis Blaydes,0,25,43,58%,46,74,5,5,100%,0,0,367,23,41,1,1,1,1,2,10,0,0,23,33,W
Shamil Abdurakhimov,0,3,8,37%,3,8,0,0,---,0,0,0,3,7,0,1,0,0,3,8,0,0,0,0,L
Mairbek Taisumov,0,51,160,31%,51,160,0,2,0%,0,0,1,40,139,5,13,6,8,51,160,0,0,0,0,L
Diego Ferreira,0,109,326,33%,112,329,0,2,0%,0,0,19,77,271,25,46,7,9,107,323,2,3,0,0,W
Joanne Wood,0,101,230,43%,158,293,2,4,50%,0,0,133,40,138,16,38,45,54,94,222,7,8,0,0,W
Andrea Lee,0,61,137,44%,104,185,3,5,60%,0,0,259,13,73,26,39,22,25,57,132,2,3,2,2,L
Zubaira Tukhugov,1,22,58,37%,28,68,6,8,75%,0,1,15,20,53,2,5,0,0,10,37,7,11,5,10,D
Lerone Murphy,0,28,78,35%,65,116,0,0,---,2,1,569,12,55,13,20,3,3,23,73,2,2,3,3,D
Zubaira Tukhugov,1,22,58,37%,28,68,6,8,75%,0,1,15,20,53,2,5,0,0,10,37,7,11,5,10,D
Lerone Murphy,0,28,78,35%,65,116,0,0,---,2,1,569,12,55,13,20,3,3,23,73,2,2,3,3,D
Liana Jojua,0,19,45,42%,45,77,2,3,66%,0,0,140,12,38,6,6,1,1,16,41,1,1,2,3,L
Sarah Moras,0,44,88,50%,130,191,0,0,---,1,1,395,35,78,6,7,3,3,16,51,1,2,27,35,W
Ottman Azaitar,1,27,53,50%,27,53,0,0,---,0,0,11,22,44,2,6,3,3,18,40,8,11,1,2,W
Teemu Packalen,0,8,19,42%,8,19,0,1,0%,0,0,0,3,12,5,6,0,1,3,13,5,6,0,0,L
Belal Muhammad,0,49,106,46%,78,148,2,9,22%,1,0,151,40,85,7,19,2,2,42,98,3,4,4,4,W
Takashi Sato,0,29,89,32%,34,95,1,2,50%,0,0,38,23,79,4,8,2,2,29,89,0,0,0,0,L
Nordine Taleb,0,6,26,23%,6,26,0,0,---,0,0,0,3,16,0,5,3,5,6,25,0,0,0,1,L
Muslim Salikhov,1,10,23,43%,10,23,0,0,---,0,0,2,1,10,2,6,7,7,10,23,0,0,0,0,W
Omari Akhmedov,0,26,77,33%,47,106,2,3,66%,0,0,219,14,60,5,10,7,7,21,67,0,2,5,8,W
Zak Cummings,0,17,69,24%,24,76,0,0,---,0,0,0,6,51,2,7,9,11,17,69,0,0,0,0,L
Don Madge,0,21,49,42%,72,111,3,12,25%,0,0,577,11,36,6,7,4,6,8,27,3,8,10,14,W
Fares Ziam,0,10,31,32%,70,96,0,4,0%,0,0,146,6,26,1,2,3,3,8,25,2,4,0,2,L
Jessica Andrade,0,4,12,33%,4,12,0,0,---,0,0,5,2,9,1,2,1,1,3,11,1,1,0,0,L
Zhang Weili,1,29,38,76%,29,38,0,0,---,0,0,1,16,25,7,7,6,6,15,23,13,13,1,2,W
Li Jingliang,3,59,128,46%,59,128,2,3,66%,0,0,22,45,108,4,6,10,14,47,113,8,11,4,4,W
Elizeu Zaleski dos Santos,0,54,160,33%,55,162,0,1,0%,0,0,24,23,114,21,33,10,13,51,156,3,4,0,0,L
Kai Kara-France,1,91,193,47%,93,195,1,1,100%,0,0,20,58,146,9,19,24,28,85,183,2,3,4,7,W
Mark De La Rosa,0,60,195,30%,63,198,1,7,14%,0,0,72,51,174,4,10,5,11,58,192,2,3,0,0,L
Song Kenan,0,58,128,45%,61,131,0,0,---,0,1,36,44,98,6,19,8,11,54,122,4,6,0,0,W
Derrick Krantz,0,33,85,38%,52,105,3,6,50%,1,1,338,23,74,6,7,4,4,30,78,1,4,2,3,L
Wu Yanan,0,123,270,45%,136,283,0,4,0%,0,0,29,65,198,41,51,17,21,95,235,28,35,0,0,L
Mizuki,0,93,204,45%,102,214,0,4,0%,0,0,36,86,195,7,9,0,0,74,182,19,22,0,0,W
JunYong Park,0,81,148,54%,84,152,0,0,---,0,0,16,76,142,5,6,0,0,73,136,8,12,0,0,L
Anthony Hernandez,0,59,110,53%,74,129,6,9,66%,1,0,272,51,102,7,7,1,1,49,97,3,6,7,7,W
Sumudaerji,0,93,157,59%,103,168,1,1,100%,0,0,218,72,127,10,17,11,13,64,111,3,3,26,43,W
Andre Soukhamthath,0,23,72,31%,27,76,0,3,0%,0,0,87,13,55,4,9,6,8,20,64,2,4,1,4,L
Da Woon Jung,0,81,190,42%,86,195,0,1,0%,1,0,5,69,176,12,14,0,0,69,177,12,13,0,0,W
Khadis Ibragimov,0,88,167,52%,95,175,1,6,16%,0,0,190,83,161,4,5,1,1,70,137,18,30,0,0,L
Damir Ismagulov,1,71,188,37%,73,191,0,5,0%,0,0,76,28,132,21,34,22,22,58,168,2,3,11,17,W
Thiago Moises,0,36,114,31%,37,115,0,3,0%,0,0,24,16,88,7,10,13,16,32,110,4,4,0,0,L
Alatengheili,0,36,89,40%,63,133,3,7,42%,0,0,171,35,88,1,1,0,0,33,86,0,0,3,3,W
Batgerel Danaa,0,85,230,36%,119,269,0,1,0%,0,0,6,74,202,6,17,5,11,68,202,5,11,12,17,L
Karol Rosa,1,171,351,48%,177,358,0,0,---,0,0,64,108,266,11,16,52,69,159,333,7,11,5,7,W
Lara Procopio,0,165,290,56%,169,294,0,5,0%,0,0,22,122,244,13,15,30,31,158,281,7,9,0,0,L
Daniel Cormier,0,181,263,68%,230,317,1,3,33%,0,0,181,162,243,9,9,10,11,139,209,21,27,21,27,L
Stipe Miocic,1,123,229,53%,135,244,1,3,33%,0,0,91,86,188,27,30,10,11,102,195,19,28,2,6,W
Anthony Pettis,0,69,133,51%,86,153,0,0,---,1,2,109,54,111,10,12,5,10,46,102,20,27,3,4,L
Nate Diaz,1,114,201,56%,205,306,1,1,100%,0,1,358,94,172,16,23,4,6,51,109,43,63,20,29,W
Yoel Romero,1,125,284,44%,125,284,1,4,25%,0,0,13,96,244,11,20,18,20,118,276,7,8,0,0,L
Paulo Costa,1,118,213,55%,118,213,0,0,---,0,0,6,67,148,46,58,5,7,110,202,5,5,3,6,W
Gabriel Benitez,0,24,72,33%,24,72,0,0,---,0,0,0,11,55,4,8,9,9,24,72,0,0,0,0,L
Sodiq Yusuff,1,34,79,43%,34,79,0,0,---,0,0,4,25,70,4,4,5,5,30,71,0,1,4,7,W
Derek Brunson,0,81,185,43%,102,207,2,10,20%,0,0,132,51,142,26,37,4,6,69,170,7,9,5,6,W
Ian Heinisch,0,58,143,40%,65,150,0,8,0%,0,0,0,37,114,16,23,5,6,49,130,8,12,1,1,L
Devonte Smith,0,15,27,55%,15,27,0,0,---,0,0,0,3,13,2,3,10,11,15,27,0,0,0,0,L
Khama Worthy,1,21,51,41%,21,51,0,0,---,0,0,2,9,30,2,5,10,16,18,46,0,0,3,5,W
Raphael Assuncao,0,45,81,55%,65,103,4,6,66%,0,0,131,15,50,20,20,10,11,30,65,12,13,3,3,L
Cory Sandhagen,0,62,116,53%,78,135,0,1,0%,0,1,226,23,67,16,21,23,28,55,108,3,4,4,4,W
Christos Giagos,0,87,155,56%,113,186,2,5,40%,1,0,199,55,117,29,33,3,5,69,127,16,23,2,5,L
Drakkar Klose,0,99,160,61%,159,223,2,7,28%,0,0,223,56,114,29,30,14,16,39,93,38,40,22,27,W
Manny Bermudez,0,37,59,62%,59,83,3,4,75%,0,1,370,29,47,8,12,0,0,22,43,2,2,13,14,L
Casey Kenney,0,43,69,62%,56,85,2,2,100%,1,1,317,21,42,10,14,12,13,26,49,6,7,11,13,W
Hannah Cifers,0,70,164,42%,112,207,1,1,100%,1,0,11,39,123,12,16,19,25,61,147,7,14,2,3,W
Jodie Esquibel,0,43,130,33%,69,157,3,8,37%,0,0,195,29,110,14,20,0,0,36,114,5,13,2,3,L
Kyung Ho Kang,1,50,101,49%,120,180,3,6,50%,0,0,381,46,96,1,1,3,4,42,89,0,0,8,12,W
Brandon Davis,0,77,187,41%,114,231,1,1,100%,0,0,24,32,126,17,20,28,41,62,163,4,6,11,18,L
Sabina Mazo,0,108,171,63%,170,250,4,4,100%,0,0,649,49,98,50,60,9,13,44,85,38,55,26,31,W
Shana Dobson,0,33,99,33%,102,176,0,0,---,0,0,5,19,75,11,18,3,6,14,71,15,23,4,5,L
Valentina Shevchenko,0,42,115,36%,84,159,1,1,100%,0,0,470,16,73,4,12,22,30,38,106,1,1,3,8,W
Liz Carmouche,0,18,76,23%,132,191,0,4,0%,0,0,0,1,40,4,7,13,29,17,75,1,1,0,0,L
Vicente Luque,0,84,179,46%,85,180,0,0,---,1,0,0,43,125,6,9,35,45,83,178,1,1,0,0,W
Mike Perry,0,87,175,49%,116,204,0,2,0%,0,0,200,56,135,11,17,20,23,75,157,12,18,0,0,L
Eduardo Garagorri,0,65,115,56%,69,120,1,1,100%,0,0,129,46,84,11,21,8,10,51,99,8,10,6,6,W
Humberto Bandenay,0,32,71,45%,59,98,4,10,40%,0,0,213,23,62,9,9,0,0,26,65,6,6,0,0,L
Volkan Oezdemir,2,64,137,46%,92,166,0,0,---,0,0,25,44,114,11,14,9,9,47,110,12,20,5,7,W
Ilir Latifi,0,18,60,30%,20,62,1,5,20%,0,0,66,16,54,2,6,0,0,17,56,1,4,0,0,L
Rodolfo Vieira,0,18,39,46%,37,62,3,7,42%,1,0,330,16,36,1,2,1,1,5,16,1,1,12,22,W
Oskar Piechota,0,22,43,51%,51,76,0,0,---,0,0,0,19,36,3,7,0,0,8,27,12,14,2,2,L
Enrique Barzola,0,83,239,34%,88,244,3,7,42%,0,0,39,51,199,24,32,8,8,82,235,1,4,0,0,W
Bobby Moffett,0,90,236,38%,98,247,0,1,0%,0,0,24,56,188,21,32,13,16,88,231,2,5,0,0,L
Gilbert Burns,0,42,83,50%,63,107,3,7,42%,0,0,418,22,54,8,15,12,14,31,66,1,2,10,15,W
Aleksei Kunchenko,0,47,102,46%,115,172,0,1,0%,0,0,28,20,63,7,17,20,22,33,85,11,12,3,5,L
Ciryl Gane,0,15,22,68%,20,28,0,1,0%,1,0,33,7,13,4,5,4,4,14,19,1,1,0,2,W
Raphael Pessoa,0,7,41,17%,9,43,0,2,0%,0,0,1,5,36,2,3,0,2,6,37,1,4,0,0,L
Tecia Pennington,0,41,108,37%,58,126,0,7,0%,0,0,88,17,70,17,26,7,12,29,89,12,19,0,0,L
Marina Rodriguez,0,84,167,50%,98,186,1,4,25%,1,0,144,31,91,36,51,17,25,44,123,39,43,1,1,W
Rogerio Bontorin,0,8,15,53%,8,16,2,5,40%,0,0,79,6,13,0,0,2,2,7,14,1,1,0,0,W
Raulian Paiva,0,3,15,20%,7,19,0,0,---,0,0,0,3,14,0,1,0,0,3,15,0,0,0,0,L
Geraldo de Freitas,0,40,112,35%,57,134,2,7,28%,0,0,128,26,95,10,12,4,5,38,110,2,2,0,0,L
Chris Gutierrez,0,48,86,55%,49,87,1,2,50%,0,1,176,18,46,6,7,24,33,40,75,2,2,6,9,W
Kazula Vargas,0,20,42,47%,59,92,0,1,0%,0,1,18,16,37,2,3,2,2,13,34,0,0,7,8,L
Alex Da Silva,0,17,39,43%,88,130,3,4,75%,0,0,721,14,35,1,2,2,2,7,28,1,1,9,10,W
Veronica Hardy,0,1,1,100%,1,1,0,0,---,1,1,4,0,0,1,1,0,0,1,1,0,0,0,0,W
Polyana Viana,0,1,3,33%,1,3,1,1,100%,0,0,43,0,1,1,2,0,0,1,3,0,0,0,0,L
Colby Covington,0,179,515,34%,201,541,10,18,55%,0,0,523,128,454,20,28,31,33,154,477,25,38,0,0,W
Robbie Lawler,0,78,167,46%,82,171,0,0,---,0,0,0,61,144,10,16,7,7,66,152,12,15,0,0,L
Jim Miller,0,2,8,25%,2,8,0,0,---,1,0,0,1,7,0,0,1,1,2,8,0,0,0,0,W
Clay Guida,0,2,5,40%,2,5,0,0,---,0,0,11,1,4,0,0,1,1,2,5,0,0,0,0,L
Joaquim Silva,0,15,56,26%,15,56,0,0,---,0,0,0,0,35,6,11,9,10,15,56,0,0,0,0,L
Nasrat Haqparast,1,21,38,55%,21,38,0,0,---,0,0,3,18,33,2,4,1,1,12,29,0,0,9,9,W
Trevin Giles,0,8,15,53%,27,38,1,1,100%,0,1,256,8,13,0,2,0,0,2,9,1,1,5,5,L
Gerald Meerschaert,0,6,19,31%,31,55,1,3,33%,1,2,330,3,16,2,2,1,1,4,13,0,0,2,6,W
Scott Holtzman,1,44,92,47%,55,108,1,2,50%,0,0,294,37,77,2,2,5,13,33,72,5,5,6,15,W
Dong Hyun Ma,0,16,58,27%,20,62,1,3,33%,0,0,35,13,54,2,2,1,2,15,57,1,1,0,0,L
Darko Stosic,0,60,134,44%,63,137,4,10,40%,0,0,129,21,80,7,9,32,45,48,111,10,20,2,3,L
Kennedy Nzechukwu,0,50,123,40%,50,123,0,0,---,0,0,0,38,102,10,18,2,3,47,120,0,0,3,3,W
Mickey Gall,0,50,117,42%,66,136,1,7,14%,0,0,301,41,103,3,8,6,6,24,82,18,26,8,9,W
Salim Touahri,0,48,96,50%,65,118,0,3,0%,0,0,104,23,64,20,25,5,7,32,68,9,15,7,13,L
Antonina Shevchenko,0,16,23,69%,36,44,0,0,---,3,0,114,3,6,9,13,4,4,1,3,15,20,0,0,W
Lucie Pudilova,0,6,16,37%,12,24,1,5,20%,0,0,137,3,12,3,4,0,0,0,8,5,7,1,1,L
Jordan Espinosa,0,5,6,83%,5,6,0,1,0%,0,0,25,2,3,0,0,3,3,5,6,0,0,0,0,L
Matt Schnell,0,3,12,25%,3,12,0,0,---,1,0,0,2,11,0,0,1,1,3,12,0,0,0,0,W
Lauren Murphy,1,24,123,19%,35,144,0,1,0%,0,0,136,20,117,3,5,1,1,17,112,3,6,4,5,W
Mara Romero Borella,0,22,72,30%,35,87,1,3,33%,0,0,46,16,62,0,0,6,10,22,72,0,0,0,0,L
Claudio Silva,0,32,37,86%,32,38,1,1,100%,1,0,84,25,29,5,6,2,2,8,12,1,1,23,24,W
Cole Williams,0,2,6,33%,2,6,0,0,---,0,0,0,2,5,0,1,0,0,2,6,0,0,0,0,L
Miranda Granger,0,61,143,42%,77,162,0,0,---,0,0,5,31,91,8,12,22,40,47,117,14,26,0,0,W
Hannah Goldy,0,55,166,33%,58,170,0,0,---,0,0,90,20,102,20,34,15,30,43,145,12,21,0,0,L
Max Holloway,0,129,328,39%,131,330,0,0,---,0,0,0,109,295,20,33,0,0,120,319,8,8,1,1,W
Frankie Edgar,0,96,264,36%,96,264,1,15,6%,0,0,106,57,195,21,48,18,21,93,252,2,10,1,2,L
Cristiane Justino,0,122,216,56%,138,234,0,0,---,0,0,112,59,147,43,48,20,21,81,160,34,42,7,14,W
Felicia Spencer,0,38,85,44%,64,115,0,8,0%,0,0,214,21,64,9,13,8,8,31,70,3,9,4,6,L
Geoff Neal,0,41,61,67%,53,73,2,4,50%,0,0,217,41,60,0,1,0,0,8,18,6,8,27,35,W
Niko Price,1,24,57,42%,42,79,0,2,0%,0,1,54,15,41,7,14,2,2,14,39,6,8,4,10,L
Olivier Aubin-Mercier,0,23,48,47%,36,61,0,3,0%,0,0,61,14,34,8,12,1,2,17,41,1,1,5,6,L
Arman Tsarukyan,0,47,105,44%,110,174,2,11,18%,0,0,473,28,77,11,18,8,10,20,68,5,8,22,29,W
Marc-Andre Barriault,0,39,77,50%,62,102,1,3,33%,0,0,136,18,51,11,16,10,10,18,52,21,25,0,0,L
Krzysztof Jotko,0,40,117,34%,98,181,1,7,14%,0,1,289,20,92,17,22,3,3,19,85,21,32,0,0,W
Alexis Davis,0,68,137,49%,134,213,0,4,0%,0,1,226,33,88,20,33,15,16,53,110,6,15,9,12,L
Viviane Araujo,0,67,148,45%,79,162,2,2,100%,0,0,60,52,128,12,17,3,3,64,145,2,2,1,1,W
Hakeem Dawodu,1,80,154,51%,89,166,0,0,---,0,0,79,42,95,27,44,11,15,38,99,42,55,0,0,W
Yoshinori Horie,0,39,79,49%,41,81,0,1,0%,0,0,2,24,62,7,8,8,9,35,68,4,11,0,0,L
Gavin Tucker,0,37,62,59%,49,77,5,13,38%,2,1,365,21,40,7,11,9,11,24,45,5,7,8,10,W
SeungWoo Choi,0,23,96,23%,42,116,2,2,100%,0,0,49,11,74,12,21,0,1,13,80,10,16,0,0,L
Alexandre Pantoja,0,61,151,40%,68,160,2,10,20%,0,0,74,41,122,9,14,11,15,48,131,13,19,0,1,L
Deiveson Figueiredo,1,67,113,59%,71,117,2,3,66%,0,0,112,53,98,12,13,2,2,46,78,11,19,10,16,W
Gillian Robertson,0,29,42,69%,51,64,2,3,66%,0,0,472,24,37,2,2,3,3,7,11,0,0,22,31,W
Sarah Frota,0,9,20,45%,33,46,0,0,---,0,0,0,8,19,1,1,0,0,3,8,0,0,6,12,L
Erik Koch,0,37,63,58%,67,99,4,11,36%,0,0,540,30,53,7,10,0,0,16,37,5,7,16,19,W
Kyle Stewart,0,23,64,35%,68,119,0,8,0%,0,0,135,13,45,3,9,7,10,19,57,4,7,0,0,L
Rafael Dos Anjos,0,81,169,47%,129,219,0,5,0%,0,0,143,41,115,17,25,23,29,81,168,0,1,0,0,L
