Name,Knockdown,Significant_Strikes_Landed,Significant_Strikes_Attempted,Significant_Strike_%,Total_Strikes_Landed,Total_Strikes_Attempted,Takedowns_Landed,Takedowns_Attempted,Takedowns_Percent,Submission_Attempts,REV,Control_Time,Head_Landed,Head_Attempted,Body_Landed,Body_Attempted,Leg_Landed,Leg_Attempted,Distance_Landed,Distance_Attempted,Clinch_Landed,Clinch_Attempted,Ground_Landed,Ground_Attempted,Winner
Jim Miller,0,57,144,39%,58,145,0,0,---,0,0,1,29,103,10,18,18,23,55,141,2,3,0,0,L
Deiveson Figueiredo,0,13,19,68%,21,27,1,5,20%,2,0,223,9,14,2,3,2,2,8,13,2,3,3,3,W
Cody Garbrandt,0,16,31,51%,18,33,0,0,---,0,0,2,6,19,0,1,10,11,16,31,0,0,0,0,L
Brendan Allen,0,112,222,50%,128,242,6,13,46%,0,0,365,72,172,25,34,15,16,108,214,4,8,0,0,W
Chris Curtis,0,124,241,51%,141,261,0,0,---,0,2,78,96,205,25,33,3,3,122,237,2,4,0,0,L
Alexander Hernandez,1,32,87,36%,56,119,0,0,---,0,0,142,20,69,6,11,6,7,29,80,0,3,3,4,L
Damon Jackson,0,42,85,49%,85,135,3,7,42%,0,0,378,20,60,10,12,12,13,30,68,11,16,1,1,W
Morgan Charriere,0,49,104,47%,75,139,2,5,40%,1,1,222,30,83,16,17,3,4,45,98,4,6,0,0,L
Chepe Mariscal,0,71,137,51%,121,199,1,8,12%,0,1,218,42,94,10,19,19,24,50,110,12,17,9,10,W
Ignacio Bahamondes,1,40,68,58%,40,69,0,0,---,0,0,15,26,53,8,9,6,6,33,56,7,12,0,0,W
Christos Giagos,0,17,45,37%,18,46,0,1,0%,0,0,10,7,31,3,7,7,7,16,44,1,1,0,0,L
Trevor Peek,0,47,97,48%,62,118,2,3,66%,0,0,195,32,77,6,11,9,9,34,81,10,11,3,5,L
Charlie Campbell,0,54,100,54%,100,153,4,10,40%,0,1,341,20,50,18,29,16,21,40,80,13,18,1,2,W
Court McGee,0,60,160,37%,78,184,1,6,16%,0,0,200,14,73,29,55,17,32,52,148,0,1,8,11,L
Alex Morono,0,38,141,26%,42,149,0,0,---,1,0,0,26,118,9,18,3,5,38,139,0,2,0,0,W
Valter Walker,0,33,67,49%,56,101,4,5,80%,0,1,439,19,50,6,8,8,9,23,53,2,5,8,9,L
Lukasz Brzeski,0,58,102,56%,135,200,0,0,---,0,1,43,27,70,16,17,15,15,55,96,3,6,0,0,W
Norma Dumont,0,11,29,37%,49,76,6,8,75%,0,0,604,6,21,5,7,0,1,4,20,5,6,2,3,W
Germaine de Randamie,0,16,33,48%,91,126,0,0,---,0,0,141,7,21,7,8,2,4,8,24,8,9,0,0,L
Pedro Falcao,0,42,106,39%,58,128,1,13,7%,0,0,430,27,83,6,12,9,11,36,96,6,10,0,0,L
Victor Hugo,1,68,124,54%,84,148,0,0,---,0,0,49,31,77,21,30,16,17,57,112,11,12,0,0,W
Dan Argueta,0,14,39,35%,39,69,9,19,47%,0,0,361,13,37,1,1,0,1,10,31,0,3,4,5,L
Jean Matsumoto,0,19,35,54%,29,47,2,4,50%,1,0,94,10,24,1,3,8,8,13,26,5,8,1,1,W
Dylan Budka,0,1,5,20%,6,11,3,6,50%,0,0,353,0,4,1,1,0,0,1,5,0,0,0,0,L
Cesar Almeida,0,29,38,76%,87,101,0,0,---,0,0,12,21,29,7,8,1,1,7,11,19,21,3,6,W
Melissa Mullins,0,11,24,45%,13,28,1,4,25%,0,0,320,9,21,2,3,0,0,9,21,2,3,0,0,L
